,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,Morning Star,Engulfing,Three_crows,MACD
0,HK.00388,2020-09-07 00:00:00,365.85,360.85,369.25,360.85,49.952,0.00512,6492762,2420990091.0,-2.853681518373931,371.45,0,0,0,
1,HK.00388,2020-09-08 00:00:00,364.65,358.85,365.45,352.25,49.682,0.00378,4795510,1763269139.0,-0.5542469170015242,360.85,0,0,0,
2,HK.00388,2020-09-09 00:00:00,352.85,358.45,360.85,352.65,49.628,0.00332,4213711,1537863071.0,-0.11146718684688145,358.85,0,0,0,
3,HK.00388,2020-09-10 00:00:00,360.05,354.25,362.45,354.25,49.061,0.00227,2880813,1060442175.0,-1.1717115357790455,358.45,0,0,0,
4,HK.00388,2020-09-11 00:00:00,353.85,359.85,360.85,353.85,49.817,0.0022,2783637,1023961728.0,1.5808045165843394,354.25,0,0,0,
5,HK.00388,2020-09-14 00:00:00,362.05,362.65,368.85,360.85,50.195,0.00214,2707320,1013383491.0,0.7781019869389897,359.85,0,0,0,
6,HK.00388,2020-09-15 00:00:00,362.85,361.85,365.45,360.45,50.087,0.0014,1779603,662471140.0,-0.220598373086986,362.65,0,-100,0,
7,HK.00388,2020-09-16 00:00:00,362.25,365.25,368.25,362.25,50.546,0.00169,2139899,802498553.0,0.9396158629266207,361.85,0,0,0,
8,HK.00388,2020-09-17 00:00:00,365.25,360.85,366.65,359.85,49.952,0.00211,2673720,993234649.0,-1.2046543463381183,365.25,0,0,0,
9,HK.00388,2020-09-18 00:00:00,362.45,363.45,363.45,358.85,50.303,0.0027,3422523,1270859720.0,0.720520992101972,360.85,0,0,0,
10,HK.00388,2020-09-21 00:00:00,364.65,357.85,366.05,357.85,49.547,0.00226,2865329,1059869634.0,-1.5407896546980235,363.45,0,-100,0,
11,HK.00388,2020-09-22 00:00:00,357.65,355.05,359.65,355.05,49.169,0.0026,3297242,1207409587.0,-0.7824507475199136,357.85,0,0,0,
12,HK.00388,2020-09-23 00:00:00,355.05,359.05,360.45,354.25,49.709,0.00153,1944877,714392067.0,1.1266018870581607,355.05,100,0,0,
13,HK.00388,2020-09-24 00:00:00,356.85,348.45,356.85,348.25,48.278,0.00451,5721780,2061095739.0,-2.9522350647542184,359.05,0,0,0,
14,HK.00388,2020-09-25 00:00:00,347.85,346.65,353.25,345.25,48.035,0.0033,4186161,1495913661.0,-0.516573396470085,348.45,0,0,0,
15,HK.00388,2020-09-28 00:00:00,344.45,351.45,353.65,344.45,48.683,0.00265,3364064,1210122140.0,1.3846819558632661,346.65,100,100,0,
16,HK.00388,2020-09-29 00:00:00,354.45,349.85,355.05,347.45,48.467,0.00225,2848408,1025041497.0,-0.4552567932849526,351.45,0,0,0,
17,HK.00388,2020-09-30 00:00:00,350.85,352.65,356.25,348.25,48.845,0.00246,3118842,1126906507.0,0.8003430041446203,349.85,0,0,0,
18,HK.00388,2020-10-05 00:00:00,356.85,356.85,358.25,354.05,49.412,0.00239,3027347,1105787507.0,1.1909825606125184,352.65,0,0,0,
19,HK.00388,2020-10-06 00:00:00,359.85,365.85,366.85,359.25,50.627,0.00355,4500250,1678160947.0,2.5220680958385877,356.85,0,0,0,
20,HK.00388,2020-10-07 00:00:00,368.85,367.85,368.85,362.85,50.897,0.0025,3170865,1191054102.0,0.5466721333880005,365.85,0,0,0,
21,HK.00388,2020-10-08 00:00:00,370.85,368.65,370.85,363.85,51.005,0.00183,2326474,875181617.0,0.2174799510669986,367.85,0,0,0,
22,HK.00388,2020-10-09 00:00:00,368.85,362.85,369.85,362.85,50.222,0.00195,2473918,928044361.0,-1.5733080157330679,368.65,0,0,0,
23,HK.00388,2020-10-12 00:00:00,363.25,367.65,372.65,362.85,50.87,0.00488,6191023,2337744776.0,1.3228606862339685,362.85,0,0,0,
24,HK.00388,2020-10-14 00:00:00,365.45,363.85,366.65,360.45,50.357,0.00408,5168561,1919993335.0,-1.0335917312661376,367.65,0,0,0,
25,HK.00388,2020-10-15 00:00:00,360.85,352.85,362.05,352.85,48.872,0.00408,5171806,1893240351.0,-3.0232238559846087,363.85,0,0,0,
26,HK.00388,2020-10-16 00:00:00,352.65,352.05,357.05,350.85,48.764,0.00385,4880405,1767653276.0,-0.22672523735298605,352.85,0,0,0,
27,HK.00388,2020-10-19 00:00:00,350.85,358.05,360.05,350.85,49.574,0.00267,3384560,1239674633.0,1.7043033659991478,352.05,100,100,0,
28,HK.00388,2020-10-20 00:00:00,357.05,357.85,359.05,355.85,49.547,0.00174,2206501,809036518.0,-0.05585812037424623,358.05,0,0,0,
29,HK.00388,2020-10-21 00:00:00,358.85,362.25,363.85,358.85,50.141,0.00284,3604832,1334545909.0,1.2295654603884245,357.85,0,0,0,
30,HK.00388,2020-10-22 00:00:00,362.05,360.85,362.05,356.05,49.952,0.00254,3218224,1183303268.0,-0.38647342995168454,362.25,0,0,0,
31,HK.00388,2020-10-23 00:00:00,361.85,358.85,361.85,356.25,49.682,0.00259,3286031,1209015695.0,-0.5542469170015242,360.85,0,0,0,
32,HK.00388,2020-10-27 00:00:00,358.85,355.65,359.05,353.05,49.25,0.00372,4717452,1718614624.0,-0.8917374947749882,358.85,0,0,0,
33,HK.00388,2020-10-28 00:00:00,355.65,368.45,371.25,354.65,50.978,0.00689,8730112,3270123936.0,3.599044003936458,355.65,0,0,0,0.6081259994059565
34,HK.00388,2020-10-29 00:00:00,362.85,374.25,375.65,361.25,51.761,0.00651,8250993,3131353400.0,1.5741620301262076,368.45,0,0,0,1.704169371801811
35,HK.00388,2020-10-30 00:00:00,373.45,361.05,373.85,360.65,49.979,0.00582,7374458,2765207858.0,-3.5270541082164297,374.25,0,0,0,1.4904806251398668
36,HK.00388,2020-11-02 00:00:00,361.25,365.25,365.85,357.05,50.546,0.00322,4085313,1517250549.0,1.1632737847943466,361.05,0,0,0,1.6411178677819862
37,HK.00388,2020-11-03 00:00:00,368.85,368.85,374.85,366.25,51.032,0.00553,7010006,2664986974.0,0.9856262833675626,365.25,0,0,0,2.027615788737762
38,HK.00388,2020-11-04 00:00:00,353.85,362.45,362.85,352.85,50.168,0.0087,11034254,4057874153.0,-1.7351226785956444,368.85,0,0,0,1.7967795069938575
39,HK.00388,2020-11-05 00:00:00,368.85,374.05,375.25,366.85,51.734,0.00759,9625066,3664282956.0,3.2004414401986545,362.45,0,0,0,2.520804875918202
40,HK.00388,2020-11-06 00:00:00,374.85,371.85,378.85,370.85,51.437,0.00381,4834083,1850989145.0,-0.5881566635476511,374.05,0,0,0,2.883835522500874
41,HK.00388,2020-11-09 00:00:00,379.85,378.65,385.45,376.85,52.355,0.00564,7150862,2790134001.0,1.8286943660077863,371.85,0,0,0,3.6778471627294493
42,HK.00388,2020-11-10 00:00:00,380.85,371.45,382.85,366.45,51.383,0.00567,7192472,2747818949.0,-1.9014921431401002,378.65,0,0,0,3.683664292108176
43,HK.00388,2020-11-11 00:00:00,367.45,356.25,369.25,355.85,49.331,0.0065,8236127,3055587332.0,-4.092071611253194,371.45,0,0,0,2.433707179318219
44,HK.00388,2020-11-12 00:00:00,358.85,360.25,365.85,358.85,49.871,0.00398,5040584,1872301034.0,1.1228070175438596,356.25,0,0,0,1.7457498154022346
45,HK.00388,2020-11-13 00:00:00,364.65,361.85,367.85,361.05,50.087,0.00352,4462545,1666461773.0,0.4441360166551069,360.25,0,0,0,1.3144926235546563
46,HK.00388,2020-11-16 00:00:00,365.45,364.85,366.65,356.85,50.492,0.00353,4481080,1667670021.0,0.8290728202293768,361.85,0,0,0,1.2009493236905655
47,HK.00388,2020-11-17 00:00:00,368.85,363.85,368.85,361.85,50.357,0.00193,2447195,913092534.0,-0.27408524050979854,364.85,0,0,0,1.018532785920229
48,HK.00388,2020-11-18 00:00:00,364.45,360.85,364.85,359.05,49.952,0.00297,3769532,1395342795.0,-0.8245155970867115,363.85,0,0,0,0.6246903955198491
49,HK.00388,2020-11-19 00:00:00,360.05,361.25,362.85,357.85,50.006,0.00257,3262491,1208157379.0,0.11084938340029853,360.85,0,0,0,0.340914273177475
50,HK.00388,2020-11-20 00:00:00,362.45,367.05,368.65,362.45,50.789,0.00309,3923833,1474174079.0,1.605536332179934,361.25,0,0,0,0.5773755531294569
51,HK.00388,2020-11-23 00:00:00,370.05,367.65,370.85,366.25,50.87,0.00241,3059445,1156140107.0,0.1634654679198926,367.05,0,0,0,0.8039207091815115
52,HK.00388,2020-11-24 00:00:00,370.85,382.85,382.85,369.05,52.922,0.00717,9088307,3525177689.0,4.1343669250646125,367.65,0,0,0,2.184787475784333
53,HK.00388,2020-11-25 00:00:00,385.25,373.85,389.25,372.25,51.707,0.00684,8665708,3384135818.0,-2.350790126681468,382.85,0,0,0,2.5238165667035446
54,HK.00388,2020-11-26 00:00:00,377.45,373.65,377.45,371.65,51.68,0.00149,1887248,722750934.0,-0.053497392002152054,373.85,0,0,0,2.7447217910225277
55,HK.00388,2020-11-27 00:00:00,372.85,377.05,380.05,372.45,52.139,0.00201,2550658,986161347.0,0.9099424595209512,373.65,0,0,0,3.1577418751354003
56,HK.00388,2020-11-30 00:00:00,377.25,376.25,380.65,371.25,52.031,0.00482,6109399,2354673642.0,-0.21217345179684693,377.05,0,0,0,3.3815297829145834
57,HK.00388,2020-12-01 00:00:00,378.05,377.05,379.85,373.85,52.139,0.00261,3306955,1276521361.0,0.21262458471761098,376.25,0,0,0,3.5821439011699
58,HK.00388,2020-12-02 00:00:00,378.45,370.65,379.85,368.85,51.275,0.0035,4440677,1690609936.0,-1.6973876143747604,377.05,0,0,0,3.1879567413851078
59,HK.00388,2020-12-03 00:00:00,375.85,375.65,376.85,372.25,51.95,0.00361,4582671,1759607683.0,1.3489815189531904,370.65,0,0,0,3.2416510550422686
60,HK.00388,2020-12-04 00:00:00,378.85,382.85,382.85,376.05,52.922,0.00386,4891068,1904378080.0,1.9166777585518557,375.65,0,0,0,3.8211363314968025
61,HK.00388,2020-12-07 00:00:00,381.05,375.25,381.05,373.05,51.896,0.00329,4167750,1601726637.0,-1.9851116625310232,382.85,0,0,0,3.6253354930324235
62,HK.00388,2020-12-08 00:00:00,374.85,374.85,379.85,373.05,51.842,0.00213,2705795,1041828487.0,-0.10659560293137302,375.25,0,0,0,3.3987070812095226
63,HK.00388,2020-12-09 00:00:00,378.05,375.45,378.65,373.25,51.923,0.0019,2409324,928466538.0,0.16006402561023497,374.85,0,0,0,3.230280751932753
64,HK.00388,2020-12-10 00:00:00,371.45,375.05,376.65,371.45,51.869,0.00157,1986228,761520415.0,-0.10653882008256152,375.45,0,0,0,3.0296016534745718
65,HK.00388,2020-12-11 00:00:00,376.85,376.85,378.65,374.65,52.112,0.00204,2584766,997676930.0,0.4799360085321987,375.05,0,0,0,2.9814388082041887
66,HK.00388,2020-12-14 00:00:00,379.85,378.65,379.85,375.85,52.355,0.00294,3726291,1441697594.0,0.4776436247843849,376.85,0,0,0,3.053317618226515
67,HK.00388,2020-12-15 00:00:00,378.85,373.25,378.85,370.25,51.626,0.00281,3557003,1359774891.0,-1.4261191073550714,378.65,0,0,0,2.6440680520818205
68,HK.00388,2020-12-16 00:00:00,376.85,378.25,379.65,374.85,52.301,0.00279,3536979,1366850414.0,1.3395847287340925,373.25,0,0,0,2.6921594968165437
69,HK.00388,2020-12-17 00:00:00,380.85,384.05,384.05,378.25,53.084,0.00329,4166768,1627547186.0,1.5333773959021841,378.25,0,0,0,3.1618361615310278
70,HK.00388,2020-12-18 00:00:00,383.85,384.85,385.65,379.85,53.192,0.00324,4110715,1613474774.0,0.20830621012889244,384.05,0,0,0,3.5576017972870204
71,HK.00388,2020-12-21 00:00:00,385.85,393.85,397.85,383.25,54.407,0.00786,9959184,4009014991.0,2.338573470183188,384.85,0,0,0,4.5450808361580926
72,HK.00388,2020-12-22 00:00:00,395.85,387.65,396.85,386.85,53.57,0.00288,3653927,1458953092.0,-1.5742033769201587,393.85,0,0,0,4.772364062211977
73,HK.00388,2020-12-23 00:00:00,385.85,394.65,394.65,385.25,54.515,0.00235,2983900,1197284429.0,1.805752611892171,387.65,0,0,0,5.454453608981112
74,HK.00388,2020-12-24 00:00:00,395.05,403.85,405.25,392.45,55.758,0.00372,4718024,1935276472.0,2.331179526162434,394.65,0,0,0,6.6605983694528845
75,HK.00388,2020-12-28 00:00:00,405.85,405.05,412.25,402.85,55.92,0.00314,3984999,1662829962.0,0.297140027237833,403.85,0,0,0,7.625405821452659
76,HK.00388,2020-12-29 00:00:00,407.65,404.05,410.25,403.05,55.785,0.00182,2302202,956063842.0,-0.2468831008517467,405.05,0,0,0,8.214637804398876
77,HK.00388,2020-12-30 00:00:00,404.65,416.05,416.85,404.65,57.405,0.00366,4645458,1960179826.0,2.969929464175226,404.05,0,0,0,9.539937645118584
78,HK.00388,2020-12-31 00:00:00,416.85,415.85,422.85,415.85,57.378,0.00231,2924062,1252041016.0,-0.048071145295033924,416.05,0,0,0,10.453606322091389
79,HK.00388,2021-01-04 00:00:00,415.85,432.65,432.65,415.25,59.646,0.00396,5015593,2193131842.0,4.039918239749898,415.85,0,0,0,12.390485128014916
80,HK.00388,2021-01-05 00:00:00,432.65,447.85,450.85,431.45,61.698,0.00606,7687814,3487151364.0,3.513232404946272,432.65,0,0,0,14.979316270798165
81,HK.00388,2021-01-06 00:00:00,446.85,439.85,449.85,439.25,60.618,0.00421,5333736,2409987909.0,-1.7863123813776933,447.85,0,0,0,16.198721681573602
82,HK.00388,2021-01-07 00:00:00,444.45,433.85,450.65,433.85,59.808,0.0045,5704257,2562594525.0,-1.364101398203933,439.85,0,0,0,16.49086299563902
83,HK.00388,2021-01-08 00:00:00,440.45,442.85,455.25,436.45,61.023,0.0081,10271690,4647146319.0,2.074449694594906,433.85,0,0,0,17.249767295882407
84,HK.00388,2021-01-11 00:00:00,447.85,441.05,448.85,441.05,60.78,0.00298,3779470,1715243662.0,-0.4064581686801426,442.85,0,0,0,17.504182148826544
85,HK.00388,2021-01-12 00:00:00,441.05,441.05,445.45,432.45,60.78,0.00286,3621313,1627433503.0,0.0,441.05,0,0,0,17.504032165818955
86,HK.00388,2021-01-13 00:00:00,441.25,444.25,447.65,439.25,61.212,0.00255,3231606,1465730294.0,0.7255413218455932,441.05,0,0,0,17.55970916299742
87,HK.00388,2021-01-14 00:00:00,444.85,448.85,450.45,439.85,61.833,0.00312,3956847,1803515658.0,1.0354530106921829,444.25,0,0,0,17.770171663202802
88,HK.00388,2021-01-15 00:00:00,446.85,449.25,462.45,444.25,61.887,0.00545,6907409,3198467231.0,0.08911663139132833,448.85,0,0,0,17.76446368856938
89,HK.00388,2021-01-18 00:00:00,443.85,472.85,475.85,443.05,65.073,0.00847,10741474,5102161843.0,5.253199777406794,449.25,0,0,0,19.440168680653528
90,HK.00388,2021-01-19 00:00:00,475.25,491.85,515.85,475.25,67.638,0.01354,17172323,8739087344.0,4.018187585915195,472.85,0,0,0,22.04717209404538
91,HK.00388,2021-01-20 00:00:00,491.35,497.85,510.85,491.35,68.448,0.00956,12117751,6176617763.0,1.219884111009454,491.85,0,0,0,24.31707879007547
92,HK.00388,2021-01-21 00:00:00,501.35,505.85,515.85,496.35,69.528,0.0065,8243153,4256148007.0,1.6069097117605704,497.85,0,0,0,26.456554648331803
93,HK.00388,2021-01-22 00:00:00,501.85,501.35,510.85,498.85,68.921,0.00616,7813752,4014920831.0,-0.8895917762182465,505.85,0,0,0,27.47230861536076
94,HK.00388,2021-01-25 00:00:00,509.85,543.85,544.35,508.85,74.659,0.00936,11868997,6419766406.0,8.477111798145009,501.35,0,0,0,31.345365898755404
95,HK.00388,2021-01-26 00:00:00,525.85,503.85,532.85,503.35,69.258,0.01497,18985693,9895939430.0,-7.354969201066471,543.85,0,0,0,30.831717150432098
96,HK.00388,2021-01-27 00:00:00,503.85,499.85,512.35,492.85,68.718,0.00966,12243662,6282934659.0,-0.7938870695643545,503.85,0,0,0,29.75883887581483
97,HK.00388,2021-01-28 00:00:00,485.85,484.25,502.85,483.85,66.612,0.01127,14294303,7115862117.0,-3.12093628088427,499.85,0,0,0,27.334688217629605
98,HK.00388,2021-01-29 00:00:00,487.85,488.25,501.85,486.85,67.152,0.00789,9998874,5018055757.0,0.8260196179659267,484.25,0,0,0,25.443006782098394
99,HK.00388,2021-02-01 00:00:00,490.85,494.85,500.85,481.45,68.043,0.00528,6694803,3360520252.0,1.3517665130568404,488.25,0,0,0,24.197467118567204
100,HK.00388,2021-02-02 00:00:00,508.85,511.85,519.85,503.85,70.338,0.00604,7652162,3995162773.0,3.4353844599373544,494.85,0,0,0,24.301987699919437
101,HK.00388,2021-02-03 00:00:00,515.85,511.85,518.85,509.35,70.338,0.0038,4814234,2517675679.0,0.0,511.85,0,0,0,24.106931315509712
102,HK.00388,2021-02-04 00:00:00,502.85,501.85,510.85,495.35,68.988,0.00522,6620948,3382001380.0,-1.9536973722770343,511.85,0,0,0,22.881665700197118
103,HK.00388,2021-02-05 00:00:00,506.35,507.85,522.85,505.85,69.798,0.00525,6656415,3482645832.0,1.1955763674404702,501.85,0,0,0,22.139572517827446
104,HK.00388,2021-02-08 00:00:00,516.35,509.35,520.35,506.35,70.001,0.00358,4538849,2371467050.0,0.29536280397755243,507.85,0,0,0,21.425515779300497
105,HK.00388,2021-02-09 00:00:00,510.35,505.35,510.85,503.85,69.461,0.00297,3770129,1943896222.0,-0.7853146166683027,509.35,0,0,0,20.30281587556226
106,HK.00388,2021-02-10 00:00:00,512.85,524.85,524.85,510.35,72.093,0.00428,5424291,2872451104.0,3.85871178391214,505.35,0,0,0,20.747392123339296
107,HK.00388,2021-02-11 00:00:00,520.85,525.85,532.35,518.35,72.228,0.0022,2792384,1492571415.0,0.1905306277984186,524.85,0,0,0,20.93904141007812
108,HK.00388,2021-02-16 00:00:00,534.85,538.85,544.35,528.85,73.984,0.00447,5662561,3092327980.0,2.4721878862793574,525.85,0,0,0,21.887609467664618
109,HK.00388,2021-02-17 00:00:00,532.85,554.35,561.35,531.85,76.076,0.00476,6039425,3381106479.0,2.876496241996845,538.85,0,0,0,23.61782535930456
110,HK.00388,2021-02-18 00:00:00,558.85,556.35,567.35,548.85,76.346,0.00593,7518475,4275517520.0,0.36078289889059256,554.35,0,0,0,24.863802763189938
111,HK.00388,2021-02-19 00:00:00,547.85,557.85,559.35,541.35,76.549,0.00474,6015649,3375942891.0,0.26961445133459155,556.35,0,0,0,25.676305825912777
112,HK.00388,2021-02-22 00:00:00,570.35,553.35,577.85,550.85,75.941,0.00669,8483046,4864419782.0,-0.8066684592632428,557.85,0,0,0,25.66130046678211
113,HK.00388,2021-02-23 00:00:00,547.85,548.85,557.85,532.85,75.334,0.00433,5486915,3049038493.0,-0.813228517213337,553.35,0,0,0,24.998133299750577
114,HK.00388,2021-02-24 00:00:00,549.85,499.85,555.85,480.45,68.718,0.03182,40339810,20709166823.0,-8.927758039537213,548.85,0,-100,0,20.28484696319026
115,HK.00388,2021-02-25 00:00:00,507.35,490.85,513.35,485.85,55.096,0.01721,21813268,11028791413.0,-1.8005401620486146,499.85,0,0,0,15.642986192800436
116,HK.00388,2021-02-26 00:00:00,480.65,464.05,480.85,458.85,52.143,0.0177,22444157,10698903912.0,-5.4599164714271184,490.85,0,0,0,9.690041302121244
117,HK.00388,2021-03-01 00:00:00,470.05,480.45,481.85,464.05,53.95,0.00829,10509974,5089798941.0,3.5341019286714745,464.05,0,0,0,6.22388742706346
118,HK.00388,2021-03-02 00:00:00,487.85,478.45,499.85,470.85,53.73,0.009,11416451,5638041209.0,-0.416276407534603,480.45,0,0,0,3.2777681525644766
119,HK.00388,2021-03-03 00:00:00,483.85,488.85,490.45,477.65,54.876,0.00432,5474542,2709099152.0,2.1736858605915006,478.45,0,0,0,1.7618311921727923
120,HK.00388,2021-03-04 00:00:00,476.85,473.85,482.65,468.85,53.223,0.0068,8625288,4155505938.0,-3.0684258975145746,488.85,0,0,0,-0.6425277504949918
121,HK.00388,2021-03-05 00:00:00,464.45,470.65,479.65,455.85,52.87,0.00754,9559584,4544606310.0,-0.6753191938377219,473.85,0,0,0,-2.7742331585624243
122,HK.00388,2021-03-08 00:00:00,475.45,446.25,476.65,439.45,50.181,0.01396,17693509,8106211131.0,-5.184319558058,470.65,0,-100,0,-6.359196277036176
123,HK.00388,2021-03-09 00:00:00,444.11,436.11,450.11,425.51,48.573,0.01105,14013786,6185306473.0,-2.272268907563022,446.25,0,0,0,-9.904347480660533
